Price,$ per sqr meter,Boat Type,Manufacturer,Type,Year Built,Length,Width,Meter Squared,Material,Location,Number of views last 7 days,Latitude,Longitude
14602,1593.235134,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,9.165,Aluminium,Germany Ã‚Â» Berlin Ã‚Â» Berlin,70,52.5200066,13.404954
16092.44,1695.011586,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,9.494,Aluminium,Switzerland Ã‚Â» Bouveret,341,46.3852842,6.8530962
15834,1583.4,Center console boat,Morningstar power boats,new boat from stock,2019,5,2,10,Aluminium,Switzerland Ã‚Â» VierwaldstÃƒÂ¤ttersee Ã‚Â» Gersau,149,46.9918509,8.5253552
16562,1648.2062,Fishing Boat,Lund Boats power boats,new boat from stock,2020,4.95,2.03,10.0485,Aluminium,Switzerland Ã‚Â» Lake Geneva Ã‚Â» Romanel,241,46.5630648,6.603945
17199,1773.092784,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,5,1.94,9.7,Aluminium,Switzerland Ã‚Â» Bouveret,215,46.3852842,6.8530962
18144.7,1904.835391,Sport Boat,Yamarin power boats,new boat from stock,2020,4.86,1.96,9.5256,Aluminium,Germany Ã‚Â» Nordrhein-Westfalen Ã‚Â» auf Anfrage,145,51.4332367,7.6615938
19502,1999.897452,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,4.95,1.97,9.7515,Aluminium,Germany Ã‚Â» Bayern Ã‚Â» Schwebheim / Schweinfurt,80,49.9875773,10.2480029
20010.9,1960.181022,Sport Boat,Buster power boats,new boat from stock,2007,5.13,1.99,10.2087,Aluminium,Switzerland Ã‚Â» Schweiz,159,46.818188,8.227512
22344,2024.793388,Deck Boat,Yamarin power boats,new boat from stock,2020,5.28,2.09,11.0352,Aluminium,Germany Ã‚Â» Nordrhein-Westfalen Ã‚Â» auf Anfrage,114,51.4332367,7.6615938
22316.56,1881.317125,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2018,5.18,2.29,11.8622,Aluminium,"Portugal Ã‚Â» Parchal, Portugal",87,37.1380612,-8.5144352
26299,2640.461847,Center console boat,Morningstar power boats,"new boat from stock,Unleaded",2019,4.98,2,9.96,Aluminium,Switzerland Ã‚Â» VierwaldstÃƒÂ¤ttersee Ã‚Â» Gersau,173,46.9918509,8.5253552
26299,2629.9,Center console boat,Morningstar power boats,new boat from stock,2019,5,2,10,Aluminium,Switzerland Ã‚Â» VierwaldstÃƒÂ¤ttersee Ã‚Â» Werft Vitznau,158,47.0102021,8.4833558
26845,3154.524089,Fishing Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.6,1.85,8.51,Aluminium,Switzerland Ã‚Â» Bielersee Ã‚Â» Werft Sutz- Lattrigen,191,47.0986576,7.2161472
27342,1496.256895,Working Boat,Viking power boats,new boat from stock,2020,7.52,2.43,18.2736,Aluminium,Germany Ã‚Â» Erftstadt,227,50.7948075,6.7774607
28119,2411.578045,Bowrider,Linder power boats,new boat from stock,2007,5.3,2.2,11.66,Aluminium,Switzerland Ã‚Â» Lake Constance Ã‚Â» Uttwil,120,47.5834988,9.3404976
27930,1472.169513,Working Boat,Viking power boats,new boat from stock,2020,7.65,2.48,18.972,Aluminium,Germany Ã‚Â» Erftstadt,252,50.7948075,6.7774607
33320,2160.12966,Deck Boat,Sunchaser power boats,Used boat,2019,6.17,2.5,15.425,Aluminium,Italy Ã‚Â» Lago Maggiore Ã‚Â» Verbania,80,45.9283065,8.5553711
34692,2824.621397,Sport Boat,Gropp power boats,"new boat from stock,Unleaded",2020,6.9,1.78,12.282,Aluminium,Switzerland Ã‚Â» Lake Constance Ã‚Â» BÃƒÂ¼singen,106,47.6363377,9.3892445
34580,1828.95224,Deck Boat,Harris FloteBote power boats,"Used boat,Unleaded",2007,7.3,2.59,18.907,Aluminium,Switzerland Ã‚Â» Luganersee Ã‚Â» Bioggio-Lugano,325,46.0170212,8.9133067
35525,2340.250329,Sport Boat,KaasbÃƒÂ¸ll power boats,"Used boat,Unleaded",2009,6.6,2.3,15.18,Aluminium,Germany Ã‚Â» Hessen Ã‚Â» Trailer,187,50.6520515,9.1624376
35503.44,2942.924403,Sport Boat,AW power boats,"new boat on order,Unleaded",2007,5.8,2.08,12.064,Aluminium,Germany Ã‚Â» Baden-WÃƒÂ¼rttemberg Ã‚Â» Konstanz,146,47.6779808,9.1736741
36260,2952.239827,Bowrider,Yamarin power boats,"Used boat,Unleaded",2017,5.66,2.17,12.2822,Aluminium,Germany Ã‚Â» Nordsee Ã‚Â» Esens,120,53.6450283,7.6147529
38220,2843.75,Pilothouse,Loon power boats,"Used boat,Unleaded",2012,6.4,2.1,13.44,Aluminium,Switzerland Ã‚Â» Sihlsee Ã‚Â» Einsiedeln,84,47.1267919,8.7526388
38220,2722.998005,Pilothouse,Yamarin power boats,new boat from stock,2020,6.05,2.32,14.036,Aluminium,Germany Ã‚Â» Nordrhein-Westfalen Ã‚Â» auf Anfrage,164,51.4332367,7.6615938
49578.2,3605.687273,Bowrider,Buster power boats,"new boat from stock,Unleaded",2020,6.25,2.2,13.75,Aluminium,Germany Ã‚Â» Ostsee Ã‚Â» Laboe bei Kiel,56,54.4022362,10.2255695
49218.26,2775.674487,Cabin Boat,VBoats power boats,"new boat from stock,Unleaded",2020,7.15,2.48,17.732,Aluminium,Switzerland Ã‚Â» Bouveret,281,46.3852842,6.8530962
58702,2863.512195,Offshore Boat,AluForce power boats,"new boat from stock,Unleaded",2007,8.2,2.5,20.5,Aluminium,Germany Ã‚Â» Mecklenburg-Vorpommern Ã‚Â» Gustow,132,54.3024758,13.2122756
65954,2972.909624,Pilothouse,AluForce power boats,new boat from stock,2020,8.7,2.55,22.185,Aluminium,Germany Ã‚Â» auf Anfrage,162,51.165691,10.451526
68394.2,3799.677778,Bowrider,Buster power boats,"new boat from stock,Unleaded",2007,7.2,2.5,18,Aluminium,Germany Ã‚Â» Schleswig-Holstein Ã‚Â» Laboe bei Kiel,71,54.4022362,10.2255695
84858.2,4408.218182,Bowrider,Buster power boats,"new boat from stock,Unleaded",2007,7.7,2.5,19.25,Aluminium,Germany Ã‚Â» Schleswig-Holstein Ã‚Â» Laboe bei Kiel,94,54.4022362,10.2255695
113750,5310.457516,Sport Boat,Anytec Boats power boats,"Display Model,Unleaded",2019,8.4,2.55,21.42,Aluminium,Switzerland Ã‚Â» Zugersee Ã‚Â» Baar,200,47.2052474,8.5275347
193482.4,6065.278997,Motor Yacht,AluVenture power boats,Used boat,2018,11,2.9,31.9,Aluminium,"Estonia Ã‚Â» Tallinn, (EST)",69,59.4343101,24.75052
289100,7790.101102,Motor Yacht,XO Boats power boats,"Used boat,Diesel",2017,11.28,3.29,37.1112,Aluminium,Germany Ã‚Â» Berlin Ã‚Â» Berlin,236,52.5200066,13.404954
372400,3325,Motor Yacht,De Vries power boats,"Used boat,Diesel",1990,20,5.6,112,Aluminium,Germany Ã‚Â» Hamburg Ã‚Â» Elbe,93,53.54779,9.9416041
2548000,16752.13675,Mega Yacht,Cantieri Schiavone power boats,"Used boat,Diesel",2020,23.4,6.5,152.1,Aluminium,Italy Ã‚Â» Calabria Ã‚Â» Nettuno-Roma,375,39.3087714,16.3463791
3332000,26112.85266,Motor Yacht,Sossego power boats,"Used boat,Diesel",2015,22,5.8,127.6,Aluminium,Spain Ã‚Â» Mallorca Ã‚Â» Mallorca,71,39.6952629,3.0175712
9702000,29082.73381,Mega Yacht,Baglietto power boats,"Used boat,Diesel",2010,41.7,8,333.6,Aluminium,Italy Ã‚Â» La Spezia,267,44.1024504,9.8240826
5782000,16747.76967,Mega Yacht,Rodriguez Group (Italyachts) power boats,"Used boat,Diesel",2010,41.1,8.4,345.24,Aluminium,France Ã‚Â» South France-Contact SCHMIDT YACHTING,986,46.1040656,7.0710768
4802000,17076.81366,Mega Yacht,Heesen Yachts power boats,"Used boat,Diesel",2002,37,7.6,281.2,Aluminium,Italy,143,41.87194,12.56738
4704000,18151.64962,Mega Yacht,Palmer Johnson power boats,Used boat,2005,36.5,7.1,259.15,Aluminium,Netherlands,157,52.132633,5.291266
4508000,7933.57479,Mega Yacht,Perini Navi Spa power boats,"Used boat,Diesel",2000,49.8,11.41,568.218,Aluminium,Italy Ã‚Â» Olbia,203,40.9235764,9.4964429
1955100,8728.125,Mega Yacht,Baglietto power boats,"Used boat,Diesel",2004,32,7,224,Aluminium,Spain,230,40.463667,-3.74922
1837500,18493.35749,Motor Yacht,Lengers power boats,Used boat,2015,18.4,5.4,99.36,Aluminium,Netherlands,93,52.132633,5.291266
1078000,5972.960993,Motor Yacht,Heesen Yachts power boats,Used boat,1989,28.2,6.4,180.48,Aluminium,"Spain Ã‚Â» Barcelona, Spain",228,41.3873974,2.168568
978530,3871.992719,Mega Yacht,Baglietto power boats,"Used boat,Diesel",1988,36,7.02,252.72,Aluminium,Greece Ã‚Â» Griechenland,176,39.074208,21.824312
955500,3791.666667,Mega Yacht,Baglietto power boats,"Used boat,Diesel",1988,36,7,252,Aluminium,Greece,265,39.074208,21.824312
931000,3917.904952,Mega Yacht,Baglietto power boats,"Used boat,Diesel",1988,33.85,7.02,237.627,Aluminium,Greece Ã‚Â» Informationen BCM-Yachtsales,110,39.074208,21.824312
783902,4761.164931,Flybridge,Admiral power boats,"Used boat,Diesel",1999,25.33,6.5,164.645,Aluminium,Greece,104,39.074208,21.824312
681100,8956.185567,Motor Yacht,van der Heijden power boats,Used boat,2015,15.68,4.85,76.048,Aluminium,Netherlands,147,52.132633,5.291266
411600,2888.408891,Flybridge,Burger power boats,"Used boat,Diesel",1985,23.99,5.94,142.5006,Aluminium,Italy Ã‚Â» Lazio Ã‚Â» ROMA,86,41.9027835,12.4963655
289100,3393.797955,Flybridge,Sunseeker power boats,"Used boat,Diesel",2003,18.64,4.57,85.1848,Aluminium,Malta Ã‚Â» St. Julians,120,35.9181297,14.4883442
259350,13471.88747,Wakeboard/Wakesurf,Pavati power boats,"Display Model,Unleaded",2019,7.52,2.56,19.2512,Aluminium,Switzerland Ã‚Â» Lake Geneva Ã‚Â» Aclens,690,46.5677921,6.5099601
254800,4187.690032,Motor Yacht,Biot power boats,"Used boat,Diesel",2003,14.15,4.3,60.845,Aluminium,Switzerland Ã‚Â» Bielersee Ã‚Â» Bielersee,212,47.1367785,7.2467909
226590,4471.612101,Motor Yacht,Loon power boats,"Used boat,Diesel",2015,12.7,3.99,50.673,Aluminium,Switzerland Ã‚Â» Basel,171,47.5595986,7.5885761
199822,7429.763374,Cabin Boat,Buster power boats,"new boat from stock,Unleaded",2007,9.47,2.84,26.8948,Aluminium,Germany Ã‚Â» Schleswig-Holstein Ã‚Â» Laboe bei Kiel,109,54.4022362,10.2255695
199745,8933.139535,Hardtop,XO Boats power boats,"Used boat,Diesel",2018,8.6,2.6,22.36,Aluminium,Switzerland Ã‚Â» Stansstad,170,46.977594,8.3374207
180996.2,6729.784196,Bowrider,Buster power boats,"new boat from stock,Unleaded",2007,9.47,2.84,26.8948,Aluminium,Germany Ã‚Â» Schleswig-Holstein Ã‚Â» Laboe bei Kiel,105,54.4022362,10.2255695
176995,7946.260214,Sport Boat,XO Boats power boats,"Used boat,Diesel",2017,8.6,2.59,22.274,Aluminium,Switzerland Ã‚Â» VierwaldstÃƒÂ¤ttersee Ã‚Â» Luzern,203,47.0501682,8.3093072
162890,7284.883721,Sport Boat,XO Boats power boats,"Used boat,Unleaded",2018,8.6,2.6,22.36,Aluminium,Switzerland Ã‚Â» VierwaldstÃƒÂ¤ttersee Ã‚Â» Luzern,265,47.0501682,8.3093072
156310,5502.904418,Working Boat,Stormer power boats,Used boat,2014,9.5,2.99,28.405,Aluminium,Netherlands Ã‚Â» Zaandam,107,52.4420399,4.8291992
131810,2200.500835,House Boat,Baltic power boats,new boat from stock,2020,11.98,5,59.9,Aluminium,Netherlands Ã‚Â» Nieuwbouw,43,52.132633,5.291266
122513.3,4277.071798,Cabin Boat,VBoats power boats,"new boat from stock,Unleaded",2020,9.58,2.99,28.6442,Aluminium,Switzerland Ã‚Â» Bouveret,148,46.3852842,6.8530962
97598.2,5178.17275,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",2007,7.6,2.48,18.848,Aluminium,Germany Ã‚Â» Ostsee Ã‚Â» Laboe bei Kiel,102,54.4022362,10.2255695
97020,1540,Motor Yacht,Striker power boats,Used boat,1976,15,4.2,63,Aluminium,Netherlands Ã‚Â» Urk,109,52.6630533,5.5989465
81809,4839.337474,Bowrider,XO Boats power boats,new boat from stock,2019,7.35,2.3,16.905,Aluminium,Switzerland Ã‚Â» VierwaldstÃƒÂ¤ttersee Ã‚Â» Luzern,147,47.0501682,8.3093072
81820.2,4341.054754,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",2020,7.6,2.48,18.848,Aluminium,Germany Ã‚Â» Schleswig-Holstein Ã‚Â» Laboe bei Kiel,77,54.4022362,10.2255695
77910,2937.782805,Launch,Waterdream power boats,Used boat,2016,8.5,3.12,26.52,Aluminium,Netherlands,104,52.132633,5.291266
74382,4338.255879,Sport Boat,XO Boats power boats,"new boat from stock,Unleaded",2007,7.52,2.28,17.1456,Aluminium,Germany Ã‚Â» Lake Constance Ã‚Â» Allensbach / Bodensee,152,47.7171871,9.0663457
71540,2944.032922,Pilothouse,AluForce power boats,new boat from stock,2007,9,2.7,24.3,Aluminium,Germany Ã‚Â» Mecklenburg-Vorpommern Ã‚Â» Gustow,102,54.3024758,13.2122756
61880,4687.878788,Center console boat,Barro power boats,"Display Model,Unleaded",2019,6,2.2,13.2,Aluminium,Switzerland Ã‚Â» Lake Constance Ã‚Â» Bottighofen,107,47.6356004,9.2095187
61477.78,2583.1,Passenger boat,VBoats power boats,"new boat from stock,Unleaded",2020,8.5,2.8,23.8,Aluminium,Switzerland Ã‚Â» Bouveret,190,46.3852842,6.8530962
58800,2868.292683,Pilothouse,AluForce power boats,new boat from stock,2020,8.2,2.5,20.5,Aluminium,Germany Ã‚Â» auf Anfrage,120,51.165691,10.451526
58310,3400.872527,Bowrider,XO Boats power boats,"Used boat,Unleaded",2016,7.52,2.28,17.1456,Aluminium,Germany Ã‚Â» Elbe Ã‚Â» Bleckede,202,53.2865475,10.7334861
56840,1396.011396,Cabin Boat,Striker power boats,"Used boat,Diesel",1972,11.31,3.6,40.716,Aluminium,Germany Ã‚Â» Rhein Ã‚Â» Beinheim Frankreich,892,48.863207,8.08458
56350,3286.557484,Sport Boat,XO Boats power boats,new boat from stock,2018,7.52,2.28,17.1456,Aluminium,Germany Ã‚Â» Lake Constance Ã‚Â» Allensbach / Bodensee,186,47.7171871,9.0663457
53449.2,2866.139368,Sport Boat,Yamarin power boats,new boat from stock,2020,7.55,2.47,18.6485,Aluminium,Germany Ã‚Â» auf Anfrage,117,51.165691,10.451526
51450,3572.916667,Sport Boat,Silver power boats,"new boat from stock,Unleaded",2007,6.4,2.25,14.4,Aluminium,Germany Ã‚Â» 71332,99,51.165691,10.451526
50869,4175.614001,Bowrider,Silver power boats,"new boat from stock,Unleaded",2020,5.64,2.16,12.1824,Aluminium,Switzerland Ã‚Â» Lake of Zurich Ã‚Â» Horgen,196,47.260742,8.596363
49130.9,2729.494444,Sport Boat,Buster power boats,new boat on order,2020,7.2,2.5,18,Aluminium,Switzerland Ã‚Â» Safenwil,107,47.3212415,7.9870207
48902,2697.297297,Offshore Boat,AluForce power boats,new boat from stock,2007,7.4,2.45,18.13,Aluminium,Germany Ã‚Â» Mecklenburg-Vorpommern Ã‚Â» Gustow,150,54.3024758,13.2122756
48902,3674.079639,Sport Boat,Buster power boats,"new boat from stock,Unleaded",2020,6.05,2.2,13.31,Aluminium,Germany Ã‚Â» Bayern Ã‚Â» Schwebheim / Schweinfurt,49,49.9875773,10.2480029
48020,2648.648649,Pilothouse,AluForce power boats,new boat from stock,2020,7.4,2.45,18.13,Aluminium,Germany Ã‚Â» auf Anfrage,164,51.165691,10.451526
45334.8,2606.197183,Pilothouse,AluForce power boats,new boat from stock,2020,7.1,2.45,17.395,Aluminium,Germany Ã‚Â» auf Anfrage,162,51.165691,10.451526
45045,3060.122283,Fishing Boat,Amberg power boats,new boat from stock,2019,6.4,2.3,14.72,Aluminium,Switzerland Ã‚Â» Lake of Zurich Ã‚Â» Feusisberg,112,47.1869781,8.7469796
45045,3433.307927,Fishing Boat,Amberg power boats,new boat from stock,2019,6.4,2.05,13.12,Aluminium,Switzerland Ã‚Â» Lake of Zurich Ã‚Â» Feusisberg,51,47.1869781,8.7469796
43600.2,3275.747558,Bowrider,Buster power boats,"new boat from stock,Unleaded",2020,6.05,2.2,13.31,Aluminium,Germany Ã‚Â» Ostsee Ã‚Â» Laboe bei Kiel,180,54.4022362,10.2255695
42968.1,3069.15,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2019,7,2,14,Aluminium,"Portugal Ã‚Â» Parchal, Portugal",152,37.1380612,-8.5144352
42435.96,3857.814545,Runabout,Futuro power boats,"Display Model,Unleaded",2020,5.5,2,11,Aluminium,Germany Ã‚Â» Lake Constance Ã‚Â» Hilzingen,140,47.7655615,8.777936
41940.08,2391.137869,Sport Boat,VBoats power boats,"new boat from stock,Unleaded",2020,7.13,2.46,17.5398,Aluminium,Switzerland Ã‚Â» Bouveret,222,46.3852842,6.8530962
41650,3309.232481,Sport Boat,Silver power boats,"new boat from stock,Unleaded",2007,5.8,2.17,12.586,Aluminium,Germany Ã‚Â» 71332,59,51.165691,10.451526
39102,2506.538462,Sport Boat,Silver power boats,"Used boat,Unleaded",2015,6.5,2.4,15.6,Aluminium,Germany Ã‚Â» Baden-WÃƒÂ¼rttemberg Ã‚Â» ÃƒÂœberlingen,121,48.6616037,9.3501336
38710,4904.656319,Working Boat,Linder power boats,"new boat from stock,Electric",2019,4.51,1.75,7.8925,Aluminium,"Germany Ã‚Â» Boote Jochum, MÃƒÂ¼nchen",46,48.0327538,11.6099097
38546.69,2809.52551,Fishing Boat,Tracker Marine power boats,"new boat on order,Unleaded",2007,5.6,2.45,13.72,Aluminium,Switzerland Ã‚Â» Lake of Zurich Ã‚Â» Wangen,137,47.1863572,8.8975312
37509.5,3125.791667,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2019,6,2,12,Aluminium,"Portugal Ã‚Â» Parchal, Portugal",64,37.1380612,-8.5144352
36390.9,2646.610909,Sport Boat,Buster power boats,new boat from stock,2007,6.25,2.2,13.75,Aluminium,Switzerland Ã‚Â» Safenwil,178,47.3212415,7.9870207
35280,2081.415929,Deck Boat,Sunchaser power boats,Used boat,2019,6.78,2.5,16.95,Aluminium,Italy Ã‚Â» Lago Maggiore Ã‚Â» Verbania,76,45.9283065,8.5553711
34319.6,2344.36308,Bowrider,Yamarin power boats,new boat from stock,2020,6.31,2.32,14.6392,Aluminium,Germany Ã‚Â» auf Anfrage,210,51.165691,10.451526
33810,3073.636364,"Center console boat,Deck Boat,Working Boat",Aluminiumjon power boats,Used boat,2020,5.5,2,11,Aluminium,Netherlands Ã‚Â» Amsterdam,86,52.3675734,4.9041389
31840.9,2392.253944,Sport Boat,Buster power boats,new boat on order,2020,6.05,2.2,13.31,Aluminium,Switzerland Ã‚Â» Safenwil,151,47.3212415,7.9870207
31466.82,2241.226496,Deck Boat,AW power boats,"new boat on order,Unleaded",2020,6.5,2.16,14.04,Aluminium,Netherlands Ã‚Â» Werft,241,52.132633,5.291266
30772,2184.968225,Bowrider,Yamarin power boats,new boat from stock,2020,6.15,2.29,14.0835,Aluminium,Germany Ã‚Â» auf Anfrage,89,51.165691,10.451526
30778.93,2321.343832,Pontoon Boat,Sunchaser power boats,"Used boat,Unleaded",2020,5.79,2.29,13.2591,Aluminium,Switzerland Ã‚Â» Lake of Zurich Ã‚Â» Altendorf,318,47.1914822,8.8299043
29390.2,2563.247863,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",2020,5.46,2.1,11.466,Aluminium,Germany Ã‚Â» Schleswig-Holstein Ã‚Â» Laboe bei Kiel,86,54.4022362,10.2255695
27229.3,2216.972529,Bowrider,Yamarin power boats,new boat from stock,2020,5.66,2.17,12.2822,Aluminium,Germany Ã‚Â» auf Anfrage,139,51.165691,10.451526
25970,1518.71345,Pilothouse,Viking power boats,new boat from stock,2020,6.84,2.5,17.1,Aluminium,Germany Ã‚Â» auf Anfrage,146,51.165691,10.451526
25025,812.1308496,Pontoon Boat,Tauscheck power boats,"Used boat,Unleaded",2010,9.94,3.1,30.814,Aluminium,Switzerland Ã‚Â» Lago Maggiore Ã‚Â» Ascona,260,46.1615793,8.7750131
24490.2,2226.381818,Sport Boat,Futuro power boats,Display Model,2019,5.5,2,11,Aluminium,Germany Ã‚Â» Lake Constance Ã‚Â» Hilzingen,125,47.7655615,8.777936
23388.82,1986.817873,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,5.45,2.16,11.772,Aluminium,Switzerland Ã‚Â» Bouveret,352,46.3852842,6.8530962
22659,2102.377109,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,5.06,2.13,10.7778,Aluminium,Switzerland Ã‚Â» Bouveret,199,46.3852842,6.8530962
22050,1601.30719,Pontoon Boat,BlueCraft power boats,Display Model,2020,5.4,2.55,13.77,Aluminium,Germany Ã‚Â» Nordrhein-Westfalen Ã‚Â» Wesel,225,51.6643079,6.6295679
21511,2725.498891,Fishing Boat,Linder power boats,new boat from stock,2019,4.51,1.75,7.8925,Aluminium,"Germany Ã‚Â» Boote Jochum, MÃƒÂ¼nchen",31,48.0327538,11.6099097
21385,2291.822956,"Fishing Boat,Passenger boat,Sport Boat",Gropp power boats,"Used boat,Unleaded",2005,6.02,1.55,9.331,Aluminium,Switzerland Ã‚Â» Thurgau,340,47.5960787,9.1523232
20297.76,1612.161647,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2019,5.16,2.44,12.5904,Aluminium,"Portugal Ã‚Â» Parchal, Portugal",86,37.1380612,-8.5144352
19560.45,1654.160677,Sport Boat,VBoats power boats,"new boat from stock,Unleaded",2020,5.5,2.15,11.825,Aluminium,Switzerland Ã‚Â» Bouveret,167,46.3852842,6.8530962
19110,2421.286031,Working Boat,Linder power boats,new boat from stock,2019,4.51,1.75,7.8925,Aluminium,"Germany Ã‚Â» Boote Jochum, MÃƒÂ¼nchen",47,48.0327538,11.6099097
